"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"205","2016","12","Uttar Pradesh","Bijnor","39564.0","17063.0","2936.0","59563.0"
"205","2017","12","Uttar Pradesh","Bijnor","22544.0","9414.0","1734.0","33692.0"
"206","2010","12","Uttar Pradesh","Farrukhabad","51642.0","13648.0","6326.0","71616.0"
"206","2011","12","Uttar Pradesh","Farrukhabad","50596.0","12940.0","3672.0","67208.0"
"206","2012","12","Uttar Pradesh","Farrukhabad","32041.0","11419.0","825.0","44285.0"
"206","2013","12","Uttar Pradesh","Farrukhabad","27350.0","8711.0","1121.0","37182.0"
"206","2014","12","Uttar Pradesh","Farrukhabad","30530.0","9372.0","2066.0","41968.0"
"206","2015","12","Uttar Pradesh","Farrukhabad","23704.0","8997.0","1976.0","34677.0"
"206","2016","12","Uttar Pradesh","Farrukhabad","27914.0","12039.0","2071.0","42024.0"
"206","2017","12","Uttar Pradesh","Farrukhabad","63097.0","18050.0","4376.0","85523.0"
"207","2010","12","Uttar Pradesh","Etawah","28416.0","11671.0","2195.0","42282.0"
"207","2011","12","Uttar Pradesh","Etawah","30105.0","13975.0","1925.0","46005.0"
"207","2012","12","Uttar Pradesh","Etawah","31620.0","11269.0","815.0","43704.0"
"207","2013","12","Uttar Pradesh","Etawah","26991.0","8597.0","1106.0","36694.0"
"207","2014","12","Uttar Pradesh","Etawah","30129.0","9249.0","2039.0","41417.0"
"207","2015","12","Uttar Pradesh","Etawah","23392.0","8879.0","1950.0","34221.0"
"207","2016","12","Uttar Pradesh","Etawah","27547.0","11881.0","2044.0","41472.0"
"207","2017","12","Uttar Pradesh","Etawah","38815.0","21592.0","1459.0","61866.0"
"208","2010","12","Uttar Pradesh","Kanpur","65277.0","27533.0","5789.0","98599.0"
"208","2011","12","Uttar Pradesh","Kanpur","71847.0","24079.0","6736.0","102662.0"
"208","2012","12","Uttar Pradesh","Kanpur","43044.0","15340.0","1109.0","59493.0"
"208","2013","12","Uttar Pradesh","Kanpur","36744.0","11703.0","1505.0","49952.0"
"208","2014","12","Uttar Pradesh","Kanpur","41014.0","12590.0","2775.0","56379.0"
"208","2015","12","Uttar Pradesh","Kanpur","31844.0","12088.0","2654.0","46586.0"
"208","2016","12","Uttar Pradesh","Kanpur","37500.0","16173.0","2782.0","56455.0"
"208","2017","12","Uttar Pradesh","Kanpur","120484.0","33136.0","4290.0","157910.0"
"209","2010","12","Uttar Pradesh","Fatehpur","28984.0","8039.0","1695.0","38718.0"
"209","2011","12","Uttar Pradesh","Fatehpur","22209.0","7121.0","1153.0","30483.0"
"209","2012","12","Uttar Pradesh","Fatehpur","31283.0","11149.0","806.0","43238.0"
"209","2013","12","Uttar Pradesh","Fatehpur","26703.0","8505.0","1094.0","36302.0"
