S.No.,State,District,2017 - 2018__area_ha,2017 - 2018__production_tonnes,2017 - 2018__yield_ton_per_ha,2018 - 2019__area_ha,2018 - 2019__production_tonnes,2018 - 2019__yield_ton_per_ha,2019 - 2020__area_ha,2019 - 2020__production_tonnes,2019 - 2020__yield_ton_per_ha,2020 - 2021__area_ha,2020 - 2021__production_tonnes,2020 - 2021__yield_ton_per_ha,2021 - 2022__area_ha,2021 - 2022__production_tonnes,2021 - 2022__yield_ton_per_ha,2022 - 2023__area_ha,2022 - 2023__production_tonnes,2022 - 2023__yield_ton_per_ha
80,Uttar Pradesh,Hapur,42670.0,177251.0,4.15,42174.0,177848.0,4.22,42066.0,188624.0,4.48,43488.0,181823.0,4.18,45245,197947,4.38,40962,173761,4.24
81,Uttar Pradesh,Hardoi,314432.0,1155223.0,3.67,311849.0,1159455.0,3.72,315210.0,1125615.0,3.57,320441.0,1200052.0,3.75,329234,1248455,3.79,305898,1196979,3.91
82,Uttar Pradesh,Hathras,82643.0,312225.0,3.78,81137.0,336232.0,4.14,82795.0,330683.0,3.99,82467.0,337785.0,4.1,85798,340446,3.97,78596,316585,4.03
83,Uttar Pradesh,Jalaun,160362.0,581167.0,3.62,143818.0,534094.0,3.71,149023.0,556303.0,3.73,144371.0,532022.0,3.69,135801,465118,3.42,163199,583926,3.58
84,Uttar Pradesh,Jaunpur,207669.0,735148.0,3.54,211334.0,784260.0,3.71,210908.0,758214.0,3.59,209293.0,773966.0,3.7,218144,872794,4.0,215069,857265,3.99
85,Uttar Pradesh,Jhansi,149640.0,394006.0,2.63,182907.0,595918.0,3.26,148822.0,508550.0,3.42,153236.0,463806.0,3.03,132473,448421,3.38,139381,478634,3.43
86,Uttar Pradesh,Kannauj,75546.0,342450.0,4.53,78024.0,358888.0,4.6,78249.0,348180.0,4.45,76169.0,315245.0,4.14,79473,306289,3.85,65342,260584,3.99
87,Uttar Pradesh,Kanpur dehat,120743.0,517022.0,4.28,120774.0,535103.0,4.43,122451.0,520962.0,4.25,122414.0,498444.0,4.07,125428,475874,3.79,124650,503835,4.04
88,Uttar Pradesh,Kanpur nagar,106047.0,408721.0,3.85,103752.0,432278.0,4.17,102937.0,418465.0,4.07,103150.0,407211.0,3.95,106742,371142,3.48,103833,407129,3.92
89,Uttar Pradesh,Kasganj,94430.0,375265.0,3.97,97339.0,415053.0,4.26,95297.0,373945.0,3.92,94618.0,360021.0,3.8,96900,379170,3.91,98291,407121,4.14
90,Uttar Pradesh,Kaushambi,72909.0,231194.0,3.17,77095.0,269358.0,3.49,73961.0,230766.0,3.12,75587.0,249908.0,3.31,77760,261274,3.36,79617,290682,3.65
91,Uttar Pradesh,Kheri,188602.0,775531.0,4.11,198051.0,841915.0,4.25,195264.0,826357.0,4.23,195061.0,802091.0,4.11,202178,827717,4.09,193565,798068,4.12
92,Uttar Pradesh,Kushi nagar,117733.0,412419.0,3.5,120236.0,383914.0,3.19,119461.0,441528.0,3.7,118046.0,441846.0,3.74,121457,457043,3.76,121800,450295,3.7
93,Uttar Pradesh,Lalitpur,152659.0,424392.0,2.78,188237.0,642076.0,3.41,171271.0,548410.0,3.2,171453.0,535282.0,3.12,171462,620521,3.62,170854,623617,3.65
94,Uttar Pradesh,Lucknow,81589.0,266225.0,3.26,78962.0,284658.0,3.6,83026.0,257381.0,3.1,81162.0,275302.0,3.39,85202,301700,3.54,80965,283216,3.5
95,Uttar Pradesh,Maharajganj,145443.0,515741.0,3.55,147751.0,610212.0,4.13,148985.0,600708.0,4.03,149744.0,560791.0,3.74,155147,551392,3.55,148897,550174,3.69
96,Uttar Pradesh,Mahoba,48394.0,86668.0,1.79,81887.0,230571.0,2.82,84331.0,242804.0,2.88,71779.0,194394.0,2.71,79923,227061,2.84,78392,308864,3.94
97,Uttar Pradesh,Mainpuri,150750.0,666014.0,4.42,152866.0,678878.0,4.44,150224.0,635448.0,4.23,150115.0,637839.0,4.25,156761,604627,3.86,149897,601087,4.01
98,Uttar Pradesh,Mathura,200421.0,704480.0,3.52,203721.0,850331.0,4.17,195767.0,557349.0,2.85,202884.0,712731.0,3.51,203144,708973,3.49,194250,695998,3.58
99,Uttar Pradesh,Mau,95373.0,352975.0,3.7,95550.0,367772.0,3.85,95061.0,329291.0,3.46,94569.0,356525.0,3.77,98616,364879,3.7,94319,323420,3.43
100,Uttar Pradesh,Meerut,75592.0,329959.0,4.36,80065.0,373423.0,4.66,74650.0,340180.0,4.56,79499.0,362992.0,4.57,81074,338889,4.18,77846,333337,4.28
101,Uttar Pradesh,Mirzapur,94546.0,278692.0,2.95,96564.0,303796.0,3.15,96236.0,233240.0,2.42,97635.0,319909.0,3.28,100512,351993,3.5,143382,478609,3.34
102,Uttar Pradesh,Moradabad,123231.0,456078.0,3.7,115217.0,460983.0,4.0,125107.0,471153.0,3.77,121959.0,528204.0,4.33,126886,527211,4.15,121331,507285,4.18
103,Uttar Pradesh,Muzaffarnagar,85624.0,341212.0,3.99,86395.0,366920.0,4.25,81330.0,323775.0,3.98,82486.0,357577.0,4.34,85686,339488,3.96,78088,343197,4.4
104,Uttar Pradesh,Pilibhit,131987.0,559229.0,4.24,148303.0,658762.0,4.44,138554.0,594812.0,4.29,141500.0,629534.0,4.45,147217,590193,4.01,141419,599192,4.24
105,Uttar Pradesh,Pratapgarh,148317.0,469720.0,3.17,150515.0,514761.0,3.42,148014.0,508428.0,3.43,147069.0,502535.0,3.42,153848,508621,3.31,160468,540296,3.37
106,Uttar Pradesh,Rae bareli,132317.0,444982.0,3.36,133804.0,461089.0,3.45,133141.0,447753.0,3.36,135517.0,528381.0,3.9,139506,450604,3.23,168080,586095,3.49
107,Uttar Pradesh,Rampur,149252.0,598202.0,4.01,148838.0,639706.0,4.3,145657.0,597776.0,4.1,144307.0,610996.0,4.23,158692,664126,4.18,150410,619990,4.12
108,Uttar Pradesh,Saharanpur,111963.0,435984.0,3.89,111995.0,472283.0,4.22,111829.0,435238.0,3.89,112258.0,466881.0,4.16,116564,474066,4.07,111810,465912,4.17
109,Uttar Pradesh,Sambhal,140565.0,502098.0,3.57,139858.0,564047.0,4.03,138781.0,572194.0,4.12,138648.0,567764.0,4.1,144823,578858,4.0,138066,568004,4.11
110,Uttar Pradesh,Sant kabeer nagar,90569.0,290274.0,3.21,91366.0,306624.0,3.36,90988.0,355399.0,3.91,91078.0,376972.0,4.14,95295,394521,4.14,104802,422981,4.04
111,Uttar Pradesh,Sant ravidas nagar,49038.0,186639.0,3.81,49437.0,185620.0,3.75,46356.0,127287.0,2.75,47585.0,172591.0,3.63,49711,176872,3.56,48863,136621,2.8
112,Uttar Pradesh,Shahjahanpur,247700.0,989809.0,4.0,272458.0,1216792.0,4.47,256371.0,1113932.0,4.35,252861.0,1126749.0,4.46,266855,1192575,4.47,231514,1006854,4.35
113,Uttar Pradesh,Shamli,49633.0,228014.0,4.59,48655.0,222451.0,4.57,48689.0,231711.0,4.76,50333.0,242001.0,4.81,51942,226155,4.35,55001,268845,4.89
114,Uttar Pradesh,Shravasti,68574.0,220945.0,3.22,72186.0,246948.0,3.42,70486.0,233943.0,3.32,70402.0,238944.0,3.39,73327,264124,3.6,98200,328970,3.35
115,Uttar Pradesh,Siddharth nagar,158257.0,629705.0,3.98,157672.0,689815.0,4.38,157091.0,636847.0,4.05,156385.0,619597.0,3.96,163931,673101,4.11,180842,723911,4.0
116,Uttar Pradesh,Sitapur,210935.0,685961.0,3.25,205409.0,714823.0,3.48,208656.0,700876.0,3.36,210592.0,764449.0,3.63,219450,831935,3.79,209869,793305,3.78
117,Uttar Pradesh,Sonbhadra,54274.0,127922.0,2.36,57964.0,156734.0,2.7,60343.0,144001.0,2.39,57786.0,151646.0,2.62,63408,175957,2.77,81130,231058,2.85
118,Uttar Pradesh,Sultanpur,114555.0,461653.0,4.03,104661.0,436855.0,4.17,104036.0,412815.0,3.97,104600.0,403756.0,3.86,109991,447663,4.07,116559,449568,3.86
119,Uttar Pradesh,Unnao,244358.0,798318.0,3.27,241879.0,937039.0,3.87,242533.0,801572.0,3.31,242573.0,844154.0,3.48,252710,861741,3.41,241665,846794,3.5
120,Uttar Pradesh,Varanasi,69363.0,234528.0,3.38,68973.0,241128.0,3.5,68369.0,225602.0,3.3,69795.0,256304.0,3.67,72087,259153,3.6,70793,173726,2.45
