correction_candidate,gamma,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
d1_effect_minus_no_future,2.0,257.32417976496174,187.1496964148908,0.8387091538822438,267.3200741808817,256.31442556963657,279.08828638895335,0.7899159663865546,259.5707148201104
d1_full_minus_base,0.5,256.9682361102489,187.1977050828935,-6.790468757058748,268.3020634182047,256.0718865392261,277.51630991348196,0.773109243697479,259.57760554448214
d1_future_ensemble_minus_no_future,2.75,257.1798601934723,186.8004819314751,6.363667975454119,267.76034710418827,256.23330751791525,278.2780939211311,0.7899159663865546,259.58834375226206
d1_broad_minus_base,0.25,257.01595528780564,187.49765592893692,-7.145118292806885,268.2456962274665,256.1154106532062,277.6118684647355,0.7773109243697479,259.598254364071
d1_no_future_minus_base,-1.25,257.15416890485255,187.3236463011919,-3.671773890653932,268.0178767497992,256.0763933002612,279.5954787305109,0.7857142857142857,259.60065196494133
d1_future_ensemble_minus_base,1.0,256.9992125823529,187.2245358441044,-5.9292386868751406,268.2488252197618,256.164075865488,276.86580294150644,0.7773109243697479,259.6028315624889
d1_full_minus_base,-0.25,257.05630560606573,187.7423713269779,-8.28083280772357,268.2118048795082,256.10027619341645,278.24960542693714,0.7815126050420168,259.60617307126404
d1_effect_minus_base,3.25,257.11416797033024,186.63886326681782,-4.463973971140839,267.72899930659605,256.4863505595047,274.44316953565044,0.7815126050420168,259.6109214516903
d2_no_future_minus_base,0.25,257.0518778887594,187.68215217146337,-6.860608962570273,268.19748407418734,256.1670143014424,277.4773101703947,0.7773109243697479,259.61706353828714
d1_broad_minus_no_future,2.0,257.01697909380067,187.09213517653149,3.9070006336821677,268.2078008415153,256.23909336542744,276.22044901931014,0.7689075630252101,259.620213098636
d1_full_minus_base,0.75,256.99551180280537,187.09827861661478,-6.2936807401704735,268.38755196345716,256.1168005295873,277.3506784908423,0.773109243697479,259.62384402466375
d1_future_ensemble_minus_base,-0.25,257.07045119606033,187.6753447532411,-8.247746316825342,268.27553922189117,256.1083454429935,278.3284325850005,0.7815126050420168,259.6311967642513
d1_broad_minus_base,-0.25,257.0872476407089,187.60980295958882,-8.422971288863707,268.27375959292567,256.11487469558494,278.45371663378734,0.7815126050420168,259.6407823924821
d2_no_future_minus_base,-0.25,257.09399868318815,187.4766694399914,-8.707480619100318,268.3746720291922,256.1027454216058,278.6573003147385,0.7815126050420168,259.66635370429356
d1_full_minus_base,-0.5,257.1422619689277,187.98544080142233,-8.777620824611843,268.23715213600155,256.1640160046238,278.57249196528346,0.7815126050420168,259.6714230196202
