test_year,normal,feature_set,model,train_rows,test_rows,train_year_max,features
2018,ewma5,physical_modis,xgb_2p0,833,119,2017,138
2018,ewma5,physical_modis,state_ridge_100p0,833,119,2017,138
2019,weighted3,history,ridge_100p0,952,119,2018,18
2019,weighted3,history,ridge_1000p0,952,119,2018,18
2019,weighted3,history,huber_10p0,952,119,2018,18
2019,weighted3,history,extra_3p0,952,119,2018,18
2019,weighted3,history,xgb_1p0,952,119,2018,18
2019,weighted3,history,xgb_2p0,952,119,2018,18
2019,weighted3,history,state_ridge_100p0,952,119,2018,18
2019,weighted3,physical,ridge_100p0,952,119,2018,78
2019,weighted3,physical,ridge_1000p0,952,119,2018,78
2019,weighted3,physical,huber_10p0,952,119,2018,78
2019,weighted3,physical,extra_3p0,952,119,2018,78
2019,weighted3,physical,xgb_1p0,952,119,2018,78
2019,weighted3,physical,xgb_2p0,952,119,2018,78
2019,weighted3,physical,state_ridge_100p0,952,119,2018,78
2019,weighted3,modis,ridge_100p0,952,119,2018,78
2019,weighted3,modis,ridge_1000p0,952,119,2018,78
2019,weighted3,modis,huber_10p0,952,119,2018,78
2019,weighted3,modis,extra_3p0,952,119,2018,78
2019,weighted3,modis,xgb_1p0,952,119,2018,78
2019,weighted3,modis,xgb_2p0,952,119,2018,78
2019,weighted3,modis,state_ridge_100p0,952,119,2018,78
2019,weighted3,physical_modis,ridge_100p0,952,119,2018,138
2019,weighted3,physical_modis,ridge_1000p0,952,119,2018,138
2019,weighted3,physical_modis,huber_10p0,952,119,2018,138
2019,weighted3,physical_modis,extra_3p0,952,119,2018,138
2019,weighted3,physical_modis,xgb_1p0,952,119,2018,138
2019,weighted3,physical_modis,xgb_2p0,952,119,2018,138
2019,weighted3,physical_modis,state_ridge_100p0,952,119,2018,138
2019,mean5,history,ridge_100p0,952,119,2018,18
2019,mean5,history,ridge_1000p0,952,119,2018,18
2019,mean5,history,huber_10p0,952,119,2018,18
2019,mean5,history,extra_3p0,952,119,2018,18
2019,mean5,history,xgb_1p0,952,119,2018,18
2019,mean5,history,xgb_2p0,952,119,2018,18
2019,mean5,history,state_ridge_100p0,952,119,2018,18
2019,mean5,physical,ridge_100p0,952,119,2018,78
2019,mean5,physical,ridge_1000p0,952,119,2018,78
2019,mean5,physical,huber_10p0,952,119,2018,78
2019,mean5,physical,extra_3p0,952,119,2018,78
2019,mean5,physical,xgb_1p0,952,119,2018,78
2019,mean5,physical,xgb_2p0,952,119,2018,78
2019,mean5,physical,state_ridge_100p0,952,119,2018,78
2019,mean5,modis,ridge_100p0,952,119,2018,78
2019,mean5,modis,ridge_1000p0,952,119,2018,78
2019,mean5,modis,huber_10p0,952,119,2018,78
2019,mean5,modis,extra_3p0,952,119,2018,78
2019,mean5,modis,xgb_1p0,952,119,2018,78
2019,mean5,modis,xgb_2p0,952,119,2018,78
2019,mean5,modis,state_ridge_100p0,952,119,2018,78
2019,mean5,physical_modis,ridge_100p0,952,119,2018,138
2019,mean5,physical_modis,ridge_1000p0,952,119,2018,138
2019,mean5,physical_modis,huber_10p0,952,119,2018,138
2019,mean5,physical_modis,extra_3p0,952,119,2018,138
2019,mean5,physical_modis,xgb_1p0,952,119,2018,138
2019,mean5,physical_modis,xgb_2p0,952,119,2018,138
2019,mean5,physical_modis,state_ridge_100p0,952,119,2018,138
2019,median5,history,ridge_100p0,952,119,2018,18
2019,median5,history,ridge_1000p0,952,119,2018,18
2019,median5,history,huber_10p0,952,119,2018,18
2019,median5,history,extra_3p0,952,119,2018,18
2019,median5,history,xgb_1p0,952,119,2018,18
2019,median5,history,xgb_2p0,952,119,2018,18
2019,median5,history,state_ridge_100p0,952,119,2018,18
2019,median5,physical,ridge_100p0,952,119,2018,78
2019,median5,physical,ridge_1000p0,952,119,2018,78
2019,median5,physical,huber_10p0,952,119,2018,78
2019,median5,physical,extra_3p0,952,119,2018,78
2019,median5,physical,xgb_1p0,952,119,2018,78
2019,median5,physical,xgb_2p0,952,119,2018,78
2019,median5,physical,state_ridge_100p0,952,119,2018,78
2019,median5,modis,ridge_100p0,952,119,2018,78
2019,median5,modis,ridge_1000p0,952,119,2018,78
2019,median5,modis,huber_10p0,952,119,2018,78
2019,median5,modis,extra_3p0,952,119,2018,78
2019,median5,modis,xgb_1p0,952,119,2018,78
