district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file,proxy_filled,proxy_source_district,proxy_overlap_years,proxy_selection_rmse,proxy_selection_mae
IND013006,Haryana,Gurgaon,2022 - 2023,2022,2023,33640.0,151340.0,4.5,4500.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2010 - 2011,2010,2011,221814.0,1026000.0,4.63,4630.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2011 - 2012,2011,2012,237072.0,1208000.0,5.1,5100.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2012 - 2013,2012,2013,231555.0,987000.0,4.26,4260.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2013 - 2014,2013,2014,226000.0,1012000.0,4.48,4480.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2014 - 2015,2014,2015,230000.0,961000.0,4.18,4180.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2015 - 2016,2015,2016,226000.0,1050000.0,4.65,4650.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2016 - 2017,2016,2017,226000.0,1075000.0,4.76,4760.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2017 - 2018,2017,2018,223900.0,1100400.0,4.91,4910.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2018 - 2019,2018,2019,221100.0,1096000.0,4.96,4960.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2019 - 2020,2019,2020,224300.0,1022800.0,4.56,4560.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2020 - 2021,2020,2021,231250.0,1149780.0,4.97,4970.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
